id,establishment_id,delivery_way,payment_type,enviado_em
76,3300,Retirada,Dinheiro,2020-04-03 19:03:45.564250
77,3300,Retirada,Débito,2020-04-03 19:11:11.238832
78,2623,Entrega,Dinheiro,2020-04-03 19:12:58.625128
79,1254,Entrega,Débito,2020-04-03 19:15:39.013257
80,2623,Entrega,Dinheiro,2020-04-03 19:28:52.934498
81,2623,Entrega,Dinheiro,2020-04-03 19:36:15.335222
82,2623,Entrega,Crédito,2020-04-03 19:37:31.551282
83,1254,Entrega,Dinheiro,2020-04-03 19:41:17.236233
84,2623,Entrega,Dinheiro,2020-04-03 19:45:29.681053
85,744,Retirada,Débito,2020-04-03 19:49:22.277741
86,225,Entrega,Dinheiro,2020-04-03 19:57:40.567249
87,225,Entrega,Débito,2020-04-03 20:06:23.860623
88,1084,Entrega,Débito,2020-04-03 20:06:54.743757
89,2623,Entrega,Crédito,2020-04-03 20:02:58.882201
90,744,Retirada,Crédito,2020-04-03 20:19:56.450358
91,2623,Entrega,Dinheiro,2020-04-03 20:20:07.806269
92,744,Retirada,Dinheiro,2020-04-03 20:24:21.450083
93,2623,Entrega,Débito,2020-04-03 20:25:21.069816
94,744,Retirada,Débito,2020-04-03 20:28:24.372146
95,2623,Entrega,Débito,2020-04-03 20:21:10.454235
96,225,Entrega,Crédito,2020-04-03 20:27:03.866956
97,2623,Retirada,Crédito,2020-04-03 20:29:37.605274
98,1084,Entrega,Débito,2020-04-03 20:36:34.725336
99,2623,Entrega,Dinheiro,2020-04-03 20:41:19.702874
100,1254,Entrega,Débito,2020-04-03 20:42:55.370524
101,744,Retirada,Débito,2020-04-03 20:44:25.907429
102,2623,Entrega,Dinheiro,2020-04-03 20:46:05.510486
103,744,Retirada,Crédito,2020-04-03 20:53:29.672135
104,225,Entrega,Crédito,2020-04-03 20:59:27.162246
105,2623,Entrega,Débito,2020-04-03 21:10:34.617446
106,744,Retirada,Crédito,2020-04-03 21:11:54.808087
107,225,Entrega,Dinheiro,2020-04-03 21:56:14.975944
108,744,Retirada,Crédito,2020-04-03 22:03:30.562573
109,2623,Entrega,Débito,2020-04-03 22:24:38.985009
110,1084,Entrega,Crédito,2020-04-03 22:31:50.805798
111,3300,Retirada,Débito,2020-04-03 23:13:35.079847
112,3300,Retirada,Débito,2020-04-03 23:14:25.432591
113,3300,Retirada,Débito,2020-04-03 23:19:30.062142
114,3300,Retirada,Débito,2020-04-03 23:20:15.065822
115,3300,Retirada,Crédito,2020-04-03 23:44:12.267013
116,3300,Entrega,Dinheiro,2020-04-03 23:49:15.991927
117,3300,Entrega,Débito,2020-04-03 23:53:35.755173
118,2954,Retirada,Débito,2020-04-04 11:56:15.121778
119,1084,Entrega,Dinheiro,2020-04-04 18:38:53.885333
120,2623,Entrega,Dinheiro,2020-04-04 19:01:56.384473
121,1254,Entrega,Crédito,2020-04-04 19:13:10.401095
122,2623,Entrega,Dinheiro,2020-04-04 19:13:32.087054
123,2623,Retirada,Dinheiro,2020-04-04 19:20:55.346248
124,1254,Retirada,Dinheiro,2020-04-04 19:22:01.471954
125,2623,Entrega,Débito,2020-04-04 19:29:06.382765
126,2623,Entrega,Débito,2020-04-04 19:29:18.418071
127,2623,Entrega,Débito,2020-04-04 19:36:24.040806
128,2623,Entrega,Dinheiro,2020-04-04 19:40:01.515292
129,2623,Entrega,Crédito,2020-04-04 19:44:19.905509
130,2623,Entrega,Dinheiro,2020-04-04 19:41:49.577268
131,1254,Retirada,Dinheiro,2020-04-04 19:49:56.156652
132,2623,Entrega,Crédito,2020-04-04 19:52:12.203881
133,2623,Entrega,Débito,2020-04-04 20:00:08.344121
134,1254,Retirada,Crédito,2020-04-04 20:06:10.524844
135,1254,Entrega,Débito,2020-04-04 20:09:31.361235
136,1254,Entrega,Débito,2020-04-04 20:09:31.746211
137,1254,Retirada,Crédito,2020-04-04 20:10:14.845902
138,1084,Entrega,Débito,2020-04-04 20:10:44.593048
139,2623,Entrega,Dinheiro,2020-04-04 20:13:15.575901
140,1084,Entrega,Débito,2020-04-04 20:14:31.678305
141,2623,Entrega,Débito,2020-04-04 20:36:51.591277
142,2623,Entrega,Débito,2020-04-04 20:38:49.671193
143,1254,Entrega,Crédito,2020-04-04 20:42:09.015472
144,3975,Entrega,Débito,2020-04-04 20:54:17.390174
145,1254,Entrega,Débito,2020-04-04 21:36:33.703733
146,2623,Entrega,Débito,2020-04-04 21:40:25.423833
147,225,Entrega,Débito,2020-04-04 21:54:01.041208
148,2623,Entrega,Débito,2020-04-04 21:54:21.082129
149,2623,Entrega,Crédito,2020-04-04 21:58:40.210469
150,2623,Entrega,Crédito,2020-04-04 22:24:31.105246
151,1254,Retirada,Débito,2020-04-04 22:37:18.806023
152,744,Retirada,Débito,2020-04-04 22:54:59.582039
153,3300,Retirada,Débito,2020-04-05 16:21:26.461554
154,3300,Retirada,Débito,2020-04-05 16:54:25.619572
155,1254,Entrega,Crédito,2020-04-05 18:23:58.988560
156,4028,Entrega,Dinheiro,2020-04-05 18:48:14.562976
157,4028,Entrega,Débito,2020-04-05 18:53:21.323082
158,2623,Entrega,Crédito,2020-04-05 19:02:08.840050
159,1254,Entrega,Dinheiro,2020-04-05 19:19:34.417038
160,2623,Entrega,Crédito,2020-04-05 19:27:58.783789
161,2623,Entrega,Crédito,2020-04-05 19:29:37.350580
162,2623,Entrega,Crédito,2020-04-05 19:31:55.916708
163,1084,Entrega,Débito,2020-04-05 19:36:34.389308
164,225,Retirada,Crédito,2020-04-05 19:47:04.893087
165,2623,Entrega,Débito,2020-04-05 20:10:49.983321
166,2623,Retirada,Débito,2020-04-05 20:43:41.225349
167,225,Entrega,Débito,2020-04-05 20:52:17.760412
168,2623,Entrega,Crédito,2020-04-05 20:56:02.740483
169,2623,Entrega,Crédito,2020-04-05 21:05:49.861478
170,225,Entrega,Crédito,2020-04-05 21:50:08.136984
171,4028,Entrega,Dinheiro,2020-04-06 06:52:47.568459
172,3300,Retirada,Dinheiro,2020-04-06 09:22:43.004158
173,3300,Retirada,Débito,2020-04-06 10:59:53.597873
174,1084,Retirada,Débito,2020-04-06 11:05:31.243378
175,3300,Retirada,Débito,2020-04-06 11:14:02.703290
176,3300,Entrega,Débito,2020-04-06 11:38:45.978910
177,3300,Entrega,Dinheiro,2020-04-06 11:54:07.989407
178,1084,Entrega,Dinheiro,2020-04-06 12:00:54.437318
179,3300,Retirada,Crédito,2020-04-06 12:00:59.910276
180,3521,Entrega,Crédito,2020-04-06 12:08:00.862217
181,1084,Retirada,Crédito,2020-04-06 12:08:07.586892
182,3300,Retirada,Crédito,2020-04-06 12:10:01.864832
183,3300,Retirada,Dinheiro,2020-04-06 12:16:28.694437
184,3300,Entrega,Crédito,2020-04-06 12:52:30.736208
185,3300,Entrega,Débito,2020-04-06 12:57:49.537444
186,3300,Entrega,Débito,2020-04-06 13:01:43.802928
187,3300,Entrega,Débito,2020-04-06 13:03:56.369301
188,3300,Entrega,Débito,2020-04-06 13:42:53.224904
189,1084,Entrega,Dinheiro,2020-04-06 13:51:43.269503
190,1084,Retirada,Dinheiro,2020-04-06 14:06:43.736171
191,3300,Retirada,Dinheiro,2020-04-06 17:25:21.871989
192,3300,Entrega,Débito,2020-04-06 17:26:43.468862
193,4028,Retirada,Dinheiro,2020-04-06 18:40:21.470124
194,3300,Entrega,Débito,2020-04-06 18:40:52.506113
195,2623,Entrega,Dinheiro,2020-04-06 18:48:58.255262
196,2623,Entrega,Dinheiro,2020-04-06 19:12:54.115418
197,225,Entrega,Débito,2020-04-06 19:35:37.645318
198,225,Entrega,Crédito,2020-04-06 20:03:21.903454
199,2623,Entrega,Crédito,2020-04-06 20:19:47.120653
200,2623,Entrega,Crédito,2020-04-06 21:08:41.631601
201,2623,Entrega,Crédito,2020-04-06 21:19:31.586992
202,2623,Entrega,Débito,2020-04-06 21:37:23.798380
203,2623,Entrega,Crédito,2020-04-06 21:38:39.356521
204,2623,Entrega,Débito,2020-04-06 21:45:28.701166
205,4028,Entrega,Débito,2020-04-06 22:34:14.593658
206,4028,Entrega,Débito,2020-04-06 22:40:02.633594
207,4028,Entrega,Débito,2020-04-06 22:48:37.278377
208,4028,Entrega,Débito,2020-04-06 22:50:01.273542
209,4028,Entrega,Débito,2020-04-06 22:53:38.572968
210,4246,Entrega,Dinheiro,2020-04-06 23:14:23.466682
211,1084,Retirada,Crédito,2020-04-07 10:48:10.395877
212,1084,Retirada,Débito,2020-04-07 11:06:17.245245
213,2954,Retirada,Crédito,2020-04-07 11:54:15.919356
214,1084,Retirada,Débito,2020-04-07 12:24:30.955991
215,3300,Entrega,Débito,2020-04-07 12:31:15.231804
216,1084,Retirada,Débito,2020-04-07 12:40:00.430187
217,3300,Entrega,Débito,2020-04-07 13:00:00.960647
218,4246,Entrega,Débito,2020-04-07 13:09:06.863275
219,3300,Retirada,Dinheiro,2020-04-07 13:33:30.589047
220,1084,Entrega,Dinheiro,2020-04-07 13:33:38.759677
221,3300,Retirada,Débito,2020-04-07 13:33:52.320275
222,4246,Retirada,Dinheiro,2020-04-07 15:21:57.203905
223,4246,Retirada,Dinheiro,2020-04-07 15:22:49.146961
224,4246,Entrega,Dinheiro,2020-04-07 15:22:53.659496
225,4246,Entrega,Crédito,2020-04-07 15:24:31.732134
226,4246,Entrega,Crédito,2020-04-07 15:40:05.829269
227,4246,Entrega,Débito,2020-04-07 15:53:47.868185
228,3095,Entrega,Débito,2020-04-07 17:14:27.737391
229,4246,Entrega,Débito,2020-04-07 17:18:54.818157
230,1254,Entrega,Débito,2020-04-07 17:19:54.122612
231,4246,Entrega,Débito,2020-04-07 18:02:41.653940
232,1254,Entrega,Crédito,2020-04-07 18:09:07.609370
233,1761,Entrega,Débito,2020-04-07 18:09:31.664303
234,3095,Retirar,Débito,2020-04-07 18:10:43.602566
235,1761,Entrega,Débito,2020-04-07 18:12:21.886128
236,1761,Entrega,Dinheiro,2020-04-07 18:13:08.282582
237,1254,Entrega,Débito,2020-04-07 18:15:31.220577
238,3095,Entrega,Crédito,2020-04-07 18:17:40.478308
239,1254,Entrega,Débito,2020-04-07 18:18:30.936565
240,1254,Entrega,Débito,2020-04-07 18:32:33.582431
241,1254,Entrega,Débito,2020-04-07 18:36:01.303648
242,1254,Entrega,Crédito,2020-04-07 18:41:47.784759
243,1254,Entrega,Crédito,2020-04-07 18:46:12.370090
244,1254,Entrega,Crédito,2020-04-07 18:46:20.141165
245,1254,Entrega,Débito,2020-04-07 18:52:11.323091
246,3300,Retirar,Débito,2020-04-07 18:54:50.816977
247,3936,Entrega,Débito,2020-04-07 18:54:57.187599
248,3300,Retirar,Dinheiro,2020-04-07 18:57:46.555441
249,3300,Entrega,Dinheiro,2020-04-07 19:01:41.958634
250,1761,Entrega,Débito,2020-04-07 19:03:27.043187
251,1761,Retirar,Débito,2020-04-07 19:05:26.675511
252,1254,Entrega,Crédito,2020-04-07 19:08:24.364523
253,1254,Entrega,Dinheiro,2020-04-07 19:29:52.223013
254,4246,Entrega,Débito,2020-04-07 19:31:41.561479
255,1254,Entrega,Débito,2020-04-07 19:20:11.920949
256,3936,Entrega,Débito,2020-04-07 19:25:00.886272
257,1761,Entrega,Crédito,2020-04-07 19:25:30.133096
258,1254,Entrega,Crédito,2020-04-07 19:26:11.058811
259,1254,Entrega,Crédito,2020-04-07 19:27:25.510237
260,1254,Entrega,Débito,2020-04-07 19:27:57.688393
261,3300,Retirar,Débito,2020-04-07 19:31:55.948967
262,4028,Entrega,Dinheiro,2020-04-07 19:43:44.903618
263,1254,Entrega,Débito,2020-04-07 19:51:40.382104
264,1254,Entrega,Débito,2020-04-07 19:57:09.056116
265,1254,Entrega,Dinheiro,2020-04-07 20:00:58.557656
266,1254,Entrega,Débito,2020-04-07 20:04:50.490579
267,1254,Entrega,Dinheiro,2020-04-07 20:07:23.875852
268,1254,Entrega,Débito,2020-04-07 20:15:58.942080
269,1254,Entrega,Dinheiro,2020-04-07 20:17:35.515345
270,1254,Entrega,Débito,2020-04-07 20:26:44.090299
271,1254,Entrega,Crédito,2020-04-07 20:33:11.311074
272,1254,Retirar,Dinheiro,2020-04-07 20:35:42.359553
273,1254,Entrega,Débito,2020-04-07 20:37:32.333682
274,1254,Entrega,Crédito,2020-04-07 20:41:47.208500
275,1254,Entrega,Débito,2020-04-07 20:55:01.902865
276,4028,Entrega,Dinheiro,2020-04-07 20:55:57.714417
277,1254,Retirar,Débito,2020-04-07 20:58:14.865055
278,1254,Entrega,Débito,2020-04-07 21:00:16.977223
279,1254,Entrega,Débito,2020-04-07 21:04:19.108008
280,4028,Retirada,Débito,2020-04-07 21:05:31.281722
281,3095,Entrega,Dinheiro,2020-04-07 21:09:53.942245
282,4028,Entrega,Dinheiro,2020-04-07 21:11:22.715377
283,4028,Entrega,Dinheiro,2020-04-07 21:18:24.072100
284,3095,Entrega,Dinheiro,2020-04-07 21:22:12.678395
285,3095,Entrega,Dinheiro,2020-04-07 21:22:32.611530
286,4028,Entrega,Débito,2020-04-07 21:27:19.156010
287,1254,Retirar,Dinheiro,2020-04-07 21:34:10.367827
288,1254,Entrega,Crédito,2020-04-07 21:35:29.217732
289,1254,Entrega,Dinheiro,2020-04-07 21:38:07.284479
290,1254,Entrega,Débito,2020-04-07 21:41:05.380265
291,1254,Entrega,Crédito,2020-04-07 21:42:22.471010
292,1254,Entrega,Débito,2020-04-07 21:44:31.629393
293,1254,Entrega,Dinheiro,2020-04-07 21:46:05.710331
294,4028,Retirar,Débito,2020-04-07 22:19:32.659252
295,4028,Entrega,Débito,2020-04-07 22:43:33.147511
296,4440,Entrega,Débito,2020-04-08 02:13:19.675351
297,3300,Retirar,Dinheiro,2020-04-08 09:47:29.979851
298,3300,Retirar,Débito,2020-04-08 09:48:37.278545
299,3300,Entrega,Dinheiro,2020-04-08 10:43:21.867695
300,3300,Entrega,Dinheiro,2020-04-08 10:43:22.703143
301,1084,Retirar,Débito,2020-04-08 11:23:58.366420
302,1084,Entrega,Dinheiro,2020-04-08 11:27:52.554019
303,1084,Retirar,Crédito,2020-04-08 11:24:48.458004
304,1084,Retirar,Débito,2020-04-08 11:25:11.145259
305,1084,Entrega,Dinheiro,2020-04-08 11:25:24.590220
306,1084,Retirar,Débito,2020-04-08 11:33:42.448670
307,3300,Entrega,Débito,2020-04-08 11:33:45.269806
308,3300,Retirar,Débito,2020-04-08 11:34:46.705408
309,1084,Entrega,Débito,2020-04-08 11:37:58.261134
310,1084,Retirar,Dinheiro,2020-04-08 11:40:37.648282
311,3300,Entrega,Crédito,2020-04-08 11:42:43.171800
312,3300,Entrega,Dinheiro,2020-04-08 11:46:13.337816
313,3300,Entrega,Dinheiro,2020-04-08 11:49:39.487595
314,3300,Entrega,Débito,2020-04-08 11:53:05.365771
315,3471,Entrega,Débito,2020-04-08 12:02:18.658610
316,3471,Entrega,Débito,2020-04-08 12:04:04.103940
317,3300,Retirar,Débito,2020-04-08 12:20:03.987017
318,3300,Entrega,Débito,2020-04-08 12:24:31.939448
319,3300,Entrega,Débito,2020-04-08 12:35:10.775705
320,744,Retirada,Débito,2020-04-08 12:44:51.518323
321,1084,Retirar,Dinheiro,2020-04-08 13:28:23.061160
322,4246,Entrega,Dinheiro,2020-04-08 14:33:15.827313
323,4246,Entrega,Dinheiro,2020-04-08 14:36:52.086272
324,3766,Entrega,Dinheiro,2020-04-08 16:37:24.277420
325,2623,Entrega,Dinheiro,2020-04-08 17:24:54.107066
326,2623,Retirar,Débito,2020-04-08 17:29:09.304068
327,3766,Entrega,Crédito,2020-04-08 17:38:35.442440
328,1761,Retirar,Dinheiro,2020-04-08 18:28:30.271870
329,1254,Entrega,Débito,2020-04-08 18:29:37.701646
330,4028,Entrega,Débito,2020-04-08 18:56:53.940932
331,3300,Entrega,Débito,2020-04-08 19:21:46.164888
332,4627,Entrega,Crédito,2020-04-08 19:11:19.018348
333,4627,Entrega,Dinheiro,2020-04-08 19:18:49.451575
334,2623,Entrega,Débito,2020-04-08 19:19:10.177461
335,3300,Entrega,Débito,2020-04-08 19:20:09.348487
336,2623,Entrega,Dinheiro,2020-04-08 19:24:04.990284
337,4028,Retirar,Débito,2020-04-08 19:35:11.021296
338,4627,Entrega,Crédito,2020-04-08 19:30:33.342680
339,2623,Entrega,Dinheiro,2020-04-08 19:40:07.999062
340,1761,Entrega,Débito,2020-04-08 19:48:19.245209
341,2623,Entrega,Crédito,2020-04-08 19:53:59.090958
342,3936,Entrega,Dinheiro,2020-04-08 19:50:58.527278
343,2623,Entrega,Dinheiro,2020-04-08 19:52:47.064397
344,1254,Entrega,Débito,2020-04-08 19:58:08.087513
345,3936,Entrega,Crédito,2020-04-08 20:02:05.804330
346,2623,Entrega,Dinheiro,2020-04-08 20:08:49.728165
347,1254,Retirar,Crédito,2020-04-08 20:18:58.665960
348,2623,Entrega,Dinheiro,2020-04-08 20:43:42.982769
349,2623,Entrega,Dinheiro,2020-04-08 20:22:32.876729
350,225,Entrega,Crédito,2020-04-08 20:56:06.966275
351,4028,Retirar,Dinheiro,2020-04-08 20:58:03.488526
352,2623,Entrega,Débito,2020-04-08 21:17:37.520418
353,1084,Retirar,Débito,2020-04-09 02:05:39.285588
354,3521,Retirada,Crédito,2020-04-09 09:24:42.035417
355,4627,Entrega,Dinheiro,2020-04-09 09:47:32.186599
356,4627,Entrega,Dinheiro,2020-04-09 10:22:18.664816
357,1084,Entrega,Débito,2020-04-09 11:02:15.978046
358,1084,Retirar,Débito,2020-04-09 11:04:46.959367
359,1084,Entrega,Débito,2020-04-09 11:06:48.057521
360,1084,Entrega,Dinheiro,2020-04-09 11:11:24.376572
361,1084,Entrega,Débito,2020-04-09 11:18:17.279513
362,3300,Entrega,Crédito,2020-04-09 11:29:34.398279
363,3300,Retirar,Crédito,2020-04-09 11:37:37.568536
364,1084,Retirar,Dinheiro,2020-04-09 11:56:34.584685
365,3300,Retirar,Crédito,2020-04-09 11:59:12.362893
366,3300,Entrega,Débito,2020-04-09 12:08:17.888930
367,3300,Entrega,Débito,2020-04-09 13:02:48.789581
368,3300,Entrega,Crédito,2020-04-09 13:13:33.367244
369,1084,Retirar,Débito,2020-04-09 13:45:04.837844
370,3300,Entrega,Débito,2020-04-09 14:16:26.983388
371,4246,Entrega,Débito,2020-04-09 15:14:17.527926
372,4246,Retirar,Débito,2020-04-09 15:39:35.810254
373,3300,Entrega,Dinheiro,2020-04-09 16:03:17.771563
374,3300,Retirar,Dinheiro,2020-04-09 16:04:23.445125
375,1761,Entrega,Dinheiro,2020-04-09 18:13:41.498985
376,2623,Entrega,Dinheiro,2020-04-09 18:42:06.190271
377,1761,Entrega,Crédito,2020-04-09 18:56:37.773153
378,2623,Entrega,Crédito,2020-04-09 18:49:04.341569
379,1761,Entrega,Débito,2020-04-09 19:09:18.068881
380,1254,Entrega,Crédito,2020-04-09 19:04:55.999378
381,1254,Entrega,Débito,2020-04-09 19:07:51.091443
382,1761,Entrega,Débito,2020-04-09 19:22:26.917502
383,2623,Entrega,Débito,2020-04-09 19:25:28.334385
384,4028,Retirar,Dinheiro,2020-04-09 19:37:45.827899
385,4028,Retirar,Dinheiro,2020-04-09 19:39:47.771843
386,4028,Entrega,Débito,2020-04-09 19:54:58.349020
387,2623,Entrega,Débito,2020-04-09 19:56:09.648456
388,2623,Entrega,Crédito,2020-04-09 19:51:04.695335
389,1254,Entrega,Dinheiro,2020-04-09 19:51:07.691711
390,2623,Entrega,Dinheiro,2020-04-09 20:15:04.620884
391,1084,Entrega,Débito,2020-04-09 20:17:18.578527
392,2623,Entrega,Dinheiro,2020-04-09 20:18:10.463545
393,4028,Retirar,Débito,2020-04-09 21:01:41.794530
394,2623,Entrega,Crédito,2020-04-09 20:42:55.487111
395,1084,Retirar,Débito,2020-04-09 20:46:41.570611
396,1761,Entrega,Débito,2020-04-09 20:51:01.322398
397,1761,Entrega,Crédito,2020-04-09 20:59:37.234570
398,2623,Entrega,Crédito,2020-04-09 21:23:31.017448
399,4028,Entrega,Crédito,2020-04-09 21:04:35.439748
400,3300,Entrega,Débito,2020-04-10 10:30:51.434955
401,4627,Retirar,Débito,2020-04-10 10:31:23.196484
402,3300,Entrega,Dinheiro,2020-04-10 11:03:05.309872
403,3300,Entrega,Débito,2020-04-10 12:59:55.217136
404,3300,Entrega,Débito,2020-04-10 13:02:53.049824
405,3300,Entrega,Débito,2020-04-10 13:50:15.520494
406,3300,Retirar,Débito,2020-04-10 13:58:07.117525
407,3300,Entrega,Débito,2020-04-10 13:58:54.779395
408,3300,Entrega,Débito,2020-04-10 14:16:17.892315
409,3300,Entrega,Débito,2020-04-10 15:09:26.014846
410,4246,Entrega,Débito,2020-04-10 15:16:21.192704
411,1254,Entrega,Débito,2020-04-10 17:56:24.015451
412,1254,Entrega,Débito,2020-04-10 17:56:25.329069
413,225,Entrega,Débito,2020-04-10 18:01:38.545932
414,1254,Entrega,Débito,2020-04-10 18:07:59.025917
415,1254,Entrega,Débito,2020-04-10 18:07:59.626434
416,1254,Entrega,Dinheiro,2020-04-10 18:10:25.727035
417,1254,Entrega,Crédito,2020-04-10 18:10:50.505273
418,1254,Entrega,Crédito,2020-04-10 18:11:11.771951
419,1254,Entrega,Dinheiro,2020-04-10 18:19:33.493338
420,1254,Entrega,Débito,2020-04-10 18:22:19.037101
421,4028,Retirar,Dinheiro,2020-04-10 18:30:46.533391
422,1761,Retirar,Crédito,2020-04-10 18:52:28.696996
423,4028,Retirar,Dinheiro,2020-04-10 18:54:41.476920
424,4028,Entrega,Dinheiro,2020-04-10 18:55:59.863781
425,4028,Entrega,Crédito,2020-04-10 18:57:02.508843
426,3936,Retirar,Débito,2020-04-10 18:58:16.023896
427,4028,Entrega,Dinheiro,2020-04-10 18:59:29.644619
428,225,Entrega,Crédito,2020-04-10 19:06:27.695340
429,1254,Entrega,Débito,2020-04-10 19:12:56.412455
430,1254,Entrega,Débito,2020-04-10 19:15:59.960288
431,1254,Entrega,Débito,2020-04-10 19:17:02.264383
432,4028,Retirar,Dinheiro,2020-04-10 19:22:03.979348
433,2623,Entrega,Dinheiro,2020-04-10 19:22:58.737165
434,1254,Entrega,Débito,2020-04-10 19:26:13.286778
435,1254,Entrega,Débito,2020-04-10 19:27:05.842550
436,1254,Retirar,Débito,2020-04-10 19:27:30.791737
437,1761,Entrega,Crédito,2020-04-10 19:29:24.202953
438,1254,Entrega,Débito,2020-04-10 19:31:11.136608
439,4028,Entrega,Débito,2020-04-10 19:31:15.052485
440,1254,Entrega,Débito,2020-04-10 19:43:26.881368
441,1254,Entrega,Débito,2020-04-10 19:35:30.469161
442,1254,Entrega,Débito,2020-04-10 19:35:51.855186
443,4028,Entrega,Crédito,2020-04-10 19:35:54.958661
444,1254,Entrega,Débito,2020-04-10 19:40:51.145440
445,4028,Entrega,Dinheiro,2020-04-10 19:47:53.173482
446,4028,Entrega,Débito,2020-04-10 19:47:32.889183
